"","X_id","dzNum","latitude","longitude","bigLat","bigLon"
"239",169860,6,35.1508942,126.847103,"35.2","126.8"
"250",169840,5,35.2190074,128.7051887,"35.2","128.7"
"253",170116,7,36.655,127.3713,"36.7","127.4"
"289",169525,7,37.63182,126.8717,"37.6","126.9"
"294",169537,6,37.41565,127.1339,"37.4","127.1"
"577",169857,12,37.19936,127.0055,"37.2","127"
"615",169505,5,37.45191,127.1585,"37.5","127.2"
"979",169605,2,34.98597,128.4054,"35","128.4"
"1080",170013,7,37.40667,127.1191,"37.4","127.1"
"1464",169254,22,37.6677002,127.0557147,"37.7","127.1"
"1981",169870,12,37.53586,127.1956,"37.5","127.2"
"2142",169530,5,37.28385,126.8595,"37.3","126.9"
"2447",169438,12,35.83884,128.548,"35.8","128.5"
"2510",169656,6,37.39432,126.9788,"37.4","127"
"2599",169630,5,38.00801,128.7279,"38","128.7"
"2710",169442,12,37.4900848,126.9775708,"37.5","127"
"2802",169852,5,36.0190178,129.3434808,"36","129.3"
"3002",169813,5,37.3077708,127.1094815,"37.3","127.1"
"3134",169614,6,35.2055516,126.8961501,"35.2","126.9"
"280",170296,0,35.27958,128.6872,"35.3","128.7"
"327",170288,6,35.8857114,128.5828073,"35.9","128.6"
"361",170234,0,37.46749,127.1287,"37.5","127.1"
"624",170436,5,35.1558,129.0155,"35.2","129"
"785",170205,5,35.5203599,129.4284795,"35.5","129.4"
"986",170295,6,37.82444,127.1545,"37.8","127.2"
"1062",170301,6,37.4145518,126.8148914,"37.4","126.8"
"1192",169886,5,34.80571,126.4235,"34.8","126.4"
"1396",170419,6,37.6944108,126.5944182,"37.7","126.6"
"1403",170446,21,35.8691,128.5877,"35.9","128.6"
"1598",170315,6,37.4412,129.169,"37.4","129.2"
"1836",170642,5,37.28167,127.161,"37.3","127.2"
"2509",170065,20,37.39432,126.9788,"37.4","127"
"2642",170317,12,37.274198,126.9347512,"37.3","126.9"
"2792",170412,5,37.4909863,126.9805504,"37.5","127"
"2800",170374,8,36.0190178,129.3434808,"36","129.3"
"3028",170046,22,35.8242238,127.1479532,"35.8","127.1"
"3058",170153,6,37.6338566,127.1200374,"37.6","127.1"
"132",170805,5,35.1365596,129.084364,"35.1","129.1"
"460",170919,5,37.34515,127.2112,"37.3","127.2"
"839",170654,22,37.4794321,127.1397209,"37.5","127.1"
"934",170575,4,34.5840469,126.5106485,"34.6","126.5"
"1022",170837,6,34.75506,127.6938,"34.8","127.7"
"1339",170624,22,35.782324,127.0958616,"35.8","127.1"
"1340",170625,6,35.782324,127.0958616,"35.8","127.1"
"1997",170756,5,37.50562,126.9158,"37.5","126.9"
"2323",170521,5,37.62869,126.8332,"37.6","126.8"
"2856",170471,20,35.1927326,128.5681805,"35.2","128.6"
"131",171161,5,37.49174,126.9115,"37.5","126.9"
"381",171008,21,35.22096,128.6813,"35.2","128.7"
"547",171037,7,35.13573,129.0922488,"35.1","129.1"
"690",171043,7,34.88781,128.4671,"34.9","128.5"
"739",171120,6,37.47824,126.9734,"37.5","127"
"927",171218,1,37.5594243,127.1955119,"37.6","127.2"
"1395",171061,5,37.6944108,126.5944182,"37.7","126.6"
"1869",171255,21,35.86788,128.4934,"35.9","128.5"
"2358",171035,20,37.61568,127.0852,"37.6","127.1"
"2430",171098,5,37.04484,127.0106,"37","127"
"2649",171174,21,35.0827297,128.8962069,"35.1","128.9"
"2699",170857,6,36.1396671,128.3132376,"36.1","128.3"
"2715",171144,12,37.2914097,126.9376066,"37.3","126.9"
"2864",170886,0,37.3919783,126.6670434,"37.4","126.7"
"2880",171040,21,35.847621,128.5847072,"35.8","128.6"
"3140",171150,7,35.1791657,128.5643251,"35.2","128.6"
"90",171493,6,35.56204,129.3435,"35.6","129.3"
"140",171765,6,37.51289,127.112,"37.5","127.1"
"141",171737,6,37.59499,126.9997,"37.6","127"
"259",171679,14,37.2719952,127.4348221,"37.3","127.4"
"726",171390,5,37.47607,127.1143,"37.5","127.1"
"970",171497,4,37.6449703,127.0646436,"37.6","127.1"
"971",171499,7,37.6449703,127.0646436,"37.6","127.1"
"981",171827,6,35.5366693,129.3221644,"35.5","129.3"
"1202",171661,7,37.6276415,127.0835041,"37.6","127.1"
"1269",171624,7,37.2957399,126.8503822,"37.3","126.9"
"1290",171807,6,36.12391,128.1874,"36.1","128.2"
"1352",171629,0,37.3202121,127.0809058,"37.3","127.1"
"1388",171916,14,37.4697577,126.9189184,"37.5","126.9"
"1633",171682,5,35.62378,129.4387,"35.6","129.4"
"1691",171859,5,37.56026,126.7601,"37.6","126.8"
"1915",171571,14,36.10215,128.3835,"36.1","128.4"
"2244",171556,5,37.59097,127.0565,"37.6","127.1"
"2292",171562,4,37.63831,126.492,"37.6","126.5"
"2684",171843,6,37.6037574,127.0363019,"37.6","127"
"2973",171498,6,37.5115005,126.9065806,"37.5","126.9"
"2978",171788,2,37.3075874,127.6392827,"37.3","127.6"
